Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 2759,Airbus A321neo,Kolkata,Delhi,2:15 PM,4:45 PM,2 hr 30 min,Nonstop,93 kg CO2e,29503,"Sun, Nov 10"
Vistara,UK 706,Airbus A320,Kolkata,Delhi,10:25 AM,12:55 PM,2 hr 30 min,Nonstop,127 kg CO2e,31223,"Sun, Nov 10"
Air India,AI 763,Airbus A321,Kolkata,Delhi,6:40 AM,9:15 AM,2 hr 35 min,Nonstop,147 kg CO2e,31364,"Sun, Nov 10"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Delhi,5:25 AM,11:20 AM,5 hr 55 min,1 stop,179 kg CO2e,26807,"Sun, Nov 10"
IndiGo,6E 6152,Airbus A320neo,Kolkata,Delhi,10:50 AM,4:55 PM,6 hr 5 min,1 stop,124 kg CO2e,28269,"Sun, Nov 10"
IndiGo,6E 6513,Airbus A320neo,Kolkata,Delhi,8:50 AM,4:05 PM,7 hr 15 min,1 stop,188 kg CO2e,28515,"Sun, Nov 10"
IndiGo,6E 2787,Airbus A320,Kolkata,Delhi,5:30 AM,8:00 AM,2 hr 30 min,Nonstop,114 kg CO2e,29083,"Sun, Nov 10"
IndiGo,6E 2119,Airbus A321neo,Kolkata,Delhi,6:45 AM,9:15 AM,2 hr 30 min,Nonstop,93 kg CO2e,29083,"Sun, Nov 10"
IndiGo,6E 2184,Airbus A321neo,Kolkata,Delhi,10:00 AM,12:30 PM,2 hr 30 min,Nonstop,93 kg CO2e,29293,"Sun, Nov 10"
IndiGo,6E 7085,ATR 72,Kolkata,Delhi,5:30 AM,10:20 AM,4 hr 50 min,1 stop,125 kg CO2e,29875,"Sun, Nov 10"
IndiGo,6E 2213,Airbus A321neo,Kolkata,Delhi,11:45 AM,2:15 PM,2 hr 30 min,Nonstop,93 kg CO2e,31393,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,4:30 PM,7:00 PM,2 hr 30 min,Nonstop,93 kg CO2e,31393,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,5:25 AM,12:15 PM,6 hr 50 min,1 stop,179 kg CO2e,31638,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,11:00 AM,5:40 PM,6 hr 40 min,1 stop,179 kg CO2e,31826,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,5:35 AM,12:15 PM,6 hr 40 min,1 stop,120 kg CO2e,32274,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,9:35 AM,4:45 PM,7 hr 10 min,1 stop,135 kg CO2e,32401,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,8:15 AM,10:45 AM,2 hr 30 min,Nonstop,93 kg CO2e,32863,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,7:15 AM,2:55 PM,7 hr 40 min,1 stop,142 kg CO2e,35700,"Sun, Nov 10"
Vistara,,,Kolkata,Delhi,7:00 AM,9:35 AM,2 hr 35 min,Nonstop,127 kg CO2e,36106,"Sun, Nov 10"
Vistara,,,Kolkata,Delhi,3:20 PM,6:00 PM,2 hr 40 min,Nonstop,127 kg CO2e,36500,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,7:40 AM,12:20 PM,4 hr 40 min,1 stop,142 kg CO2e,36663,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,6:40 AM,11:15 AM,4 hr 35 min,1 stop,141 kg CO2e,36800,"Sun, Nov 10"
SpiceJet,,,Kolkata,Delhi,3:20 PM,5:45 PM,2 hr 25 min,Nonstop,150 kg CO2e,37262,"Sun, Nov 10"
Air India,,,Kolkata,Delhi,4:50 AM,7:20 AM,2 hr 30 min,Nonstop,142 kg CO2e,37664,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,9:40 AM,2:55 PM,5 hr 15 min,1 stop,142 kg CO2e,38035,"Sun, Nov 10"
Air India,,,Kolkata,Delhi,3:45 PM,6:20 PM,2 hr 35 min,Nonstop,115 kg CO2e,39929,"Sun, Nov 10"
SpiceJet,,,Kolkata,Delhi,6:50 AM,12:50 PM,6 hr,1 stop,153 kg CO2e,41572,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,12:55 PM,7:10 PM,6 hr 15 min,1 stop,134 kg CO2e,43520,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,12:55 PM,5:50 PM,4 hr 55 min,1 stop,134 kg CO2e,43674,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,9:45 AM,5:05 PM,7 hr 20 min,1 stop,178 kg CO2e,44885,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,7:30 AM,1:40 PM,6 hr 10 min,1 stop,151 kg CO2e,49190,"Sun, Nov 10"
IndiGo,,,Kolkata,Delhi,8:45 AM,4:05 PM,7 hr 20 min,1 stop,180 kg CO2e,50660,"Sun, Nov 10"
SpiceJet,,,Kolkata,Delhi,6:50 AM,10:45 AM,3 hr 55 min,1 stop,112 kg CO2e,60761,"Sun, Nov 10"
