Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
Air India,AI 703,Airbus A320,Kolkata,Delhi,4:50 AM,7:20 AM,2 hr 30 min,Nonstop,142 kg CO2e,10767,"Thu, Nov 14"
IndiGo,6E 2787,Airbus A320,Kolkata,Delhi,5:30 AM,8:00 AM,2 hr 30 min,Nonstop,114 kg CO2e,11321,"Thu, Nov 14"
IndiGo,6E 201,Airbus A320neo,Kolkata,Delhi,9:35 AM,3:05 PM,5 hr 30 min,1 stop,166 kg CO2e,12302,"Thu, Nov 14"
IndiGo,6E 2213,Airbus A321neo,Kolkata,Delhi,11:45 AM,2:15 PM,2 hr 30 min,Nonstop,93 kg CO2e,13001,"Thu, Nov 14"
IndiGo,6E 2184,Airbus A321neo,Kolkata,Delhi,10:00 AM,12:30 PM,2 hr 30 min,Nonstop,93 kg CO2e,13421,"Thu, Nov 14"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Delhi,5:25 AM,11:20 AM,5 hr 55 min,1 stop,179 kg CO2e,12895,"Thu, Nov 14"
IndiGo,6E 2119,Airbus A321neo,Kolkata,Delhi,6:45 AM,9:15 AM,2 hr 30 min,Nonstop,93 kg CO2e,13841,"Thu, Nov 14"
IndiGo,6E 139,Airbus A320neo,Kolkata,Delhi,6:40 AM,11:15 AM,4 hr 35 min,1 stop,141 kg CO2e,14262,"Thu, Nov 14"
IndiGo,6E 7351,ATR 72,Kolkata,Delhi,9:40 AM,2:55 PM,5 hr 15 min,1 stop,142 kg CO2e,14262,"Thu, Nov 14"
IndiGo,6E 5194,Airbus A321neo,Kolkata,Delhi,8:15 AM,10:45 AM,2 hr 30 min,Nonstop,93 kg CO2e,14681,"Thu, Nov 14"
Air India,AI 2720,Airbus A320neo,Kolkata,Delhi,7:00 AM,9:35 AM,2 hr 35 min,Nonstop,115 kg CO2e,15719,"Thu, Nov 14"
IndiGo,6E 6152,Airbus A320neo,Kolkata,Delhi,10:50 AM,4:55 PM,6 hr 5 min,1 stop,124 kg CO2e,16376,"Thu, Nov 14"
SpiceJet,SG 2952,De Havilland-Bombardier Dash-8,Kolkata,Delhi,6:50 AM,10:45 AM,3 hr 55 min,1 stop,112 kg CO2e,16715,"Thu, Nov 14"
IndiGo,6E 7085,ATR 72,Kolkata,Delhi,5:30 AM,10:20 AM,4 hr 50 min,1 stop,125 kg CO2e,16866,"Thu, Nov 14"
IndiGo,6E 713,Airbus A320,Kolkata,Delhi,8:10 AM,1:45 PM,5 hr 35 min,1 stop,134 kg CO2e,16866,"Thu, Nov 14"
Air India,AI 763,Airbus A321,Kolkata,Delhi,6:40 AM,9:15 AM,2 hr 35 min,Nonstop,147 kg CO2e,16979,"Thu, Nov 14"
IndiGo,6E 2759,Airbus A321neo,Kolkata,Delhi,2:15 PM,4:45 PM,2 hr 30 min,Nonstop,93 kg CO2e,17075,"Thu, Nov 14"
